,u,v,length,highway,name,maxspeed
4301,640448687,601675019,31.65223975914446,residential,枫林路,
4302,640448687,601675168,249.05659604778234,primary,肇嘉浜路,60
4303,640454491,640476214,15.791906998734445,tertiary,广元路,
4304,640454491,1490932759,195.90795875960208,primary,华山路,
4305,640454491,1984190476,173.13424502518507,tertiary,广元西路,
4306,640458067,640464469,217.99118307845325,primary,漕溪北路,60
4307,640458286,640466413,145.12590742881522,primary,肇嘉浜路,
4308,640458286,640459264,64.67718414162466,primary,漕溪北路,60
4309,640459264,640459266,20.594543909920734,primary,华山路,
4310,640459264,640466413,121.69800583914126,primary,肇嘉浜路,
4311,640459266,107701259,12.21995811373202,primary,肇嘉浜路,
4312,640459266,640466062,105.70344756140948,primary,华山路,
4313,640464469,107702858,32.630729241587126,primary,漕溪北路,60
4314,640464962,640468170,592.1546319142117,secondary,"['衡山路漕溪北路隧道', '衡山路']",
4315,640464962,640458286,229.13591934001084,primary,漕溪北路,60
4316,640466062,11224508560,215.4281510828614,primary,华山路,
4317,640466413,622624180,75.21398887186994,primary,肇嘉浜路,
4318,640468083,640468130,33.327580519189404,tertiary,天平路,
4319,640468083,107723532,378.36845889739806,primary,肇嘉浜路,
4320,640468130,640468083,33.327580519189404,tertiary,天平路,
4321,640468130,622624179,113.65875846925499,primary,肇嘉浜路,
4322,640468130,640468170,144.29221650623086,tertiary,天平路,
4323,640468170,640468130,144.29221650623086,tertiary,天平路,
4324,640468170,640476183,203.52281280263202,secondary,衡山路,
4325,640468170,640468210,9.18708268647894,tertiary,天平路,
4326,640468210,4790191325,174.77963638235687,residential,天平路,
4327,640468210,857586429,62.31822305202242,secondary,衡山路,
4328,640468210,640468170,9.18708268647894,tertiary,天平路,
4329,640469172,640476171,235.60306849108875,tertiary,广元路,
4330,640469172,640470131,196.4157534620718,residential,天平路,
4331,640470131,1414884244,213.56647804921482,residential,康平路,
4332,640470131,640476435,114.68261162961052,residential,康平路,
4333,640470131,105253431,404.264786928843,residential,天平路,
4334,640471886,111148069,347.504292644927,residential,广元西路,
