osmid,y,x,highway
1767298307,31.2439866,121.5099116,traffic_signals
1767298369,31.244026,121.5068539,traffic_signals
1777868877,31.2412907,121.5030058,
1777868879,31.2397498,121.5039837,
1781673986,31.2531655,121.4768734,
1782456914,31.249412,121.461841,
1782456951,31.2502416,121.4625148,
1782456955,31.2505227,121.4639703,
1784595697,31.2375927,121.5047056,
1785697720,31.2399916,121.4967287,
1785697732,31.2404448,121.4963862,
1785697742,31.2405915,121.495252,
1785697745,31.2402097,121.4970515,
1785697747,31.2399577,121.4955966,
1798205454,31.2454747,121.4284341,
1798209871,31.2472578,121.4277262,
1798209877,31.2472975,121.4279699,
1798209897,31.2483077,121.4273529,
1800806199,31.2338006,121.505845,
1801716813,31.249323,121.4905308,
1807311606,31.2165486,121.4707695,traffic_signals
1807311607,31.2170527,121.4723706,traffic_signals
1807311608,31.2176422,121.4742429,traffic_signals
1807318141,31.2156562,121.4661132,traffic_signals
1840106503,31.2302472,121.4247977,traffic_signals
1841631332,31.2382654,121.4209055,
1841876349,31.2475131,121.443473,
1842556857,31.2504608,121.4744568,
1842556880,31.2509431,121.4757787,
1842807871,31.2546237,121.4757156,
1842807910,31.2552463,121.4742489,
1842807915,31.2553352,121.4751317,
1842807919,31.2558948,121.4718466,
1842807923,31.2563794,121.472281,
1842807944,31.2573583,121.47239,
1842807980,31.2589756,121.4728724,
1845635892,31.2459476,121.458895,
1845635922,31.2464224,121.4579605,
1845703215,31.2422023,121.451798,traffic_signals
1845703312,31.2449217,121.4603309,
1845703319,31.2450033,121.4571356,traffic_signals
1845703418,31.2462041,121.4612355,
1850260374,31.2429631,121.4529676,
1850260376,31.2429954,121.4530545,
1850260412,31.244175,121.4548563,
1850260415,31.2442085,121.4549245,
1850260463,31.2448245,121.4541387,
1850260466,31.244896,121.4541117,
1850260467,31.244866,121.4542002,
1853993812,31.24309,121.4530058,traffic_signals
1853993817,31.2431885,121.4529616,traffic_signals
1853993828,31.2441262,121.4549459,
1859042405,31.2438053,121.4628922,
1859042437,31.2463822,121.4650577,
1859042439,31.2465407,121.4650239,
1859109487,31.2443545,121.4610366,
1859109502,31.2449828,121.4716856,
1859109513,31.2452032,121.4623992,
1859109533,31.2455805,121.4633325,
1859109571,31.2467789,121.4712622,
1859109574,31.24696,121.4660864,
1859109609,31.2482055,121.4655031,
1859109625,31.2497438,121.4699036,
1859109626,31.2498609,121.468174,
1860413707,31.2473194,121.4697953,
1860455496,31.246043,121.4791367,
1860543337,31.2481868,121.4660449,
1860543354,31.2483114,121.4656599,
1860543360,31.2483925,121.4663165,
1860543361,31.2484084,121.4659846,
1860543391,31.2485137,121.4661377,
1860543396,31.2485526,121.4658399,
1860543433,31.2505934,121.4693814,
1860543446,31.2514654,121.4716357,
1860543462,31.2520641,121.4738963,
1860572920,31.2509614,121.4654653,
1860572921,31.2510012,121.4673986,
1860572925,31.2517869,121.4667088,
1860572926,31.2518094,121.4666886,
1860572948,31.2531383,121.4687515,
1861861258,31.2534613,121.4792678,
1861930129,31.247996,121.4809978,
1861930172,31.2489478,121.479772,
1861930304,31.2526215,121.4771182,
1861994063,31.2557599,121.4793723,
1861994064,31.2559222,121.4770234,
1861994071,31.2563224,121.4779333,
1862001101,31.2547272,121.4781708,
1862001106,31.2554605,121.4767453,
1862001116,31.2555914,121.477341,
1862001117,31.2556208,121.4764613,
1863096007,31.2510539,121.4819538,
1863100100,31.2512153,121.4810909,
1863100102,31.2520257,121.4809735,
1863116196,31.2564737,121.4777185,
1865210144,31.2605781,121.4759071,
1865210146,31.2606239,121.4756691,
1865210155,31.2617542,121.4764019,
1865210156,31.2619803,121.475553,
1865212854,31.257613,121.4759029,
1865240965,31.2536375,121.4765606,
1865241018,31.2563888,121.4819459,
1865241040,31.2576992,121.4789642,
1865241050,31.2579567,121.4800385,
1865241060,31.2580684,121.4799672,
1865241072,31.2584518,121.4807052,
1865241073,31.2585474,121.4806138,
1865384814,31.2599535,121.4842402,traffic_signals
1865384846,31.2606545,121.4813327,
1865384865,31.2606745,121.4817021,
1865384925,31.2625839,121.482439,
1865430625,31.260798,121.4804561,
1865430639,31.2614463,121.4813118,
1865430657,31.2627231,121.4815933,
1865495892,31.2628521,121.4792956,
1865495909,31.2632522,121.4781632,
1865496000,31.2646848,121.4835874,
1867076607,31.254377,121.4914203,
1867076784,31.2575722,121.483558,
1867076856,31.2582141,121.4874134,
1867076896,31.2593136,121.4879547,
1867076948,31.2598539,121.4947897,
1879906125,31.2527526,121.4847049,
1879928919,31.2504929,121.4854673,
1879928945,31.2522958,121.4849617,
1879960040,31.2472007,121.4863002,
1880007889,31.2496151,121.4887201,
1880146417,31.2491916,121.4865167,
1880146429,31.2485268,121.486289,
1880146445,31.2455655,121.4830111,traffic_signals
1880157373,31.2473334,121.4869214,traffic_signals
1880178164,31.2518687,121.4875562,
1880185515,31.2554061,121.4872692,traffic_signals
1880185564,31.2535323,121.4837208,
1880185576,31.2534184,121.4855084,
1880185582,31.2529918,121.4846483,
1880204048,31.2541145,121.4847736,
1880204103,31.2560908,121.4855864,
1880204155,31.2543053,121.4838525,
1880204189,31.2536376,121.4835978,
1880204196,31.2533471,121.4845192,
1881138444,31.257894,121.4365416,
1881233351,31.2227052,121.4315238,traffic_signals
1881233443,31.2244906,121.4377853,
1881233506,31.2250621,121.4391875,
1881233519,31.2251419,121.4374201,
1881233637,31.2272974,121.4429583,traffic_signals
1881273307,31.2325304,121.4313799,
1881391036,31.2481184,121.4919353,
1881391063,31.2528077,121.4891212,
1881391098,31.249084,121.4914045,
1881511332,31.2542986,121.4944937,
1881511338,31.2541969,121.4941111,traffic_signals
1881511390,31.2535669,121.4945938,
1881511398,31.2555184,121.4877407,traffic_signals
1881511402,31.2580576,121.4941083,
1881511439,31.2562394,121.491397,
1881511482,31.2584226,121.4909448,
1881511536,31.2501494,121.4918801,
1881511664,31.2510462,121.4991696,
1881550438,31.2638233,121.5052542,
1881550456,31.2565326,121.5049161,traffic_signals
1881550504,31.264909,121.5051043,
1881550508,31.2646962,121.5039103,traffic_signals
1881550512,31.2645156,121.5032703,
1881550544,31.2592878,121.4968928,
1881685006,31.2577879,121.5035239,traffic_signals
1881810007,31.2570809,121.5013577,
1881810033,31.2567727,121.5014808,
1882272209,31.2075571,121.4650768,traffic_signals
1882278349,31.2058439,121.47014,traffic_signals
1882278373,31.2068315,121.4737788,
1882296810,31.2039824,121.4665887,traffic_signals
1883254799,31.2389241,121.4857524,traffic_signals
1883276474,31.2442204,121.4804233,traffic_signals
1883276500,31.2426914,121.4838125,traffic_signals
1887541364,31.2398776,121.4857082,traffic_signals
1887566506,31.2389292,121.4858309,traffic_signals
1887575214,31.2365063,121.4846742,
1887854441,31.2409232,121.4781957,traffic_signals
1887854488,31.2418239,121.4750639,
1887877324,31.2412494,121.4752234,
1887913947,31.2341287,121.4768922,
1887913956,31.23443,121.479056,
1887913969,31.2372416,121.4785937,traffic_signals
1888322965,31.233565,121.4840482,motorway_junction
1888322976,31.2341956,121.4854569,
1888322988,31.235101,121.487535,traffic_signals
1888323015,31.2352187,121.4873467,traffic_signals
1888323026,31.234197,121.4856562,
1888323059,31.2333501,121.4835841,
1888338492,31.2336071,121.4839351,traffic_signals
1888338495,31.2342447,121.4853948,
1888338501,31.2337195,121.4838736,traffic_signals
1888338540,31.2344562,121.4854637,
1888338541,31.2336597,121.4835544,
1888382763,31.2277036,121.4955381,
1888382823,31.2251993,121.4978047,
1888422935,31.237625,121.4860531,traffic_signals
1888621478,31.1970815,121.5086779,traffic_signals
1889249225,31.2327658,121.478963,
1889249235,31.2323425,121.4769833,
1889249238,31.2332799,121.4785201,
1889249242,31.2325115,121.4778874,motorway_junction
1889249243,31.2331195,121.4788064,traffic_signals
1889249255,31.2327457,121.4788296,traffic_signals
1889249267,31.2328339,121.4786311,
1889249272,31.2331728,121.4791405,
1889249276,31.2328285,121.4822313,traffic_signals
1889249283,31.2331922,121.479643,
1889249305,31.2333862,121.4784629,
1889249337,31.2321954,121.4770937,
1889249347,31.2330257,121.4797816,
1889249354,31.2330459,121.47826,
1889249355,31.2330471,121.4789126,traffic_signals
1889249359,31.2325734,121.4789441,
1889249369,31.2330079,121.4786589,
1889255114,31.2328401,121.4826745,
1889255121,31.2328816,121.4823563,traffic_signals
1889255133,31.2333643,121.4832045,
1889255135,31.2330403,121.4822933,traffic_signals
1889255141,31.2329473,121.4821809,traffic_signals
1890502796,31.230492,121.4740036,traffic_signals
1890502809,31.2295161,121.4719226,
1890502811,31.2322166,121.4726724,
1890502815,31.2304434,121.473888,traffic_signals
1890502816,31.2296037,121.4718296,
1890502898,31.2323499,121.4727588,
1890502904,31.2307215,121.4738598,traffic_signals
1890502906,31.2299099,121.472911,
1890531875,31.2293189,121.4714075,
1890531879,31.2290029,121.470807,
1890531922,31.2278068,121.4688076,
1890531930,31.2289034,121.4711672,motorway_junction
1890531937,31.2273745,121.4675517,motorway_junction
1890811948,31.2288727,121.4707639,
1891590934,31.2306706,121.4737617,traffic_signals
1893030228,31.1995251,121.5042525,
1893030240,31.200181,121.5061768,
1893030259,31.2036512,121.5020757,traffic_signals
1928818253,31.2352678,121.4676215,
1984190476,31.1992221,121.4307709,
1984212343,31.2121064,121.4230139,motorway_junction
1984271673,31.2232075,121.4428772,
2049850517,31.2399489,121.4967539,
2049850521,31.2399493,121.4968709,
2049850540,31.2395844,121.4962208,
2181350353,31.2441061,121.4490032,
2181350359,31.2427133,121.4473631,
2181350365,31.2453718,121.4505612,
2181350376,31.2436236,121.4484678,
2182880301,31.2441836,121.4489176,
2298470785,31.2454851,121.4203443,
2298470787,31.2463485,121.4200792,
2298485648,31.2383918,121.4285706,
2298514205,31.2363693,121.4315353,
